community,Web Devs,ML Devs,Total,ML_ratio
7,8165,567,8732,0.065
2,2181,5483,7664,0.715
13,5205,1249,6454,0.194
0,2587,460,3047,0.151
5,2534,168,2702,0.062
11,1750,646,2396,0.27
8,1902,185,2087,0.089
3,1563,437,2000,0.218
4,649,255,904,0.282
10,472,94,566,0.166
9,447,67,514,0.13
12,358,46,404,0.114
6,71,25,96,0.26
14,26,21,47,0.447
15,11,8,19,0.421
19,1,8,9,0.889
22,5,3,8,0.375
17,0,6,6,1.0
24,5,1,6,0.167
20,3,2,5,0.4
28,4,0,4,0.0
1,3,0,3,0.0
16,3,0,3,0.0
18,3,0,3,0.0
21,3,0,3,0.0
23,0,3,3,1.0
25,3,0,3,0.0
26,3,0,3,0.0
27,3,0,3,0.0
29,1,2,3,0.667
30,0,3,3,1.0
