strategy,k,model,cascade_size,cascade_reach_pct
PageRank,1,IC,16693,44.2785
PageRank,5,IC,16694,44.2812
PageRank,10,IC,16631,44.1141
PageRank,25,IC,16727,44.3687
PageRank,50,IC,16797,44.5544
PPR-ML,1,IC,16693,44.2785
PPR-ML,5,IC,16642,44.1432
PPR-ML,10,IC,16744,44.4138
PPR-ML,25,IC,16737,44.3952
PPR-ML,50,IC,16753,44.4377
PPR-Web,1,IC,16693,44.2785
PPR-Web,5,IC,16694,44.2812
PPR-Web,10,IC,16631,44.1141
PPR-Web,25,IC,16739,44.4005
PPR-Web,50,IC,16781,44.5119
Degree,1,IC,16693,44.2785
Degree,5,IC,16694,44.2812
Degree,10,IC,16631,44.1141
Degree,25,IC,16682,44.2493
Degree,50,IC,16649,44.1618
Betweenness,1,IC,16736,44.3926
Betweenness,5,IC,16694,44.2812
Betweenness,10,IC,16628,44.1061
Betweenness,25,IC,16620,44.0849
Betweenness,50,IC,16808,44.5836
PageRank,1,LT,5729,15.1963
PageRank,5,LT,13462,35.7082
PageRank,10,LT,17319,45.939
PageRank,25,LT,21843,57.939
PageRank,50,LT,25895,68.687
PPR-ML,1,LT,5729,15.1963
PPR-ML,5,LT,12321,32.6817
PPR-ML,10,LT,15881,42.1247
PPR-ML,25,LT,21708,57.5809
PPR-ML,50,LT,25345,67.2281
PPR-Web,1,LT,5729,15.1963
PPR-Web,5,LT,13462,35.7082
PPR-Web,10,LT,17319,45.939
PPR-Web,25,LT,21843,57.939
PPR-Web,50,LT,25909,68.7241
Degree,1,LT,5729,15.1963
Degree,5,LT,13462,35.7082
Degree,10,LT,17319,45.939
Degree,25,LT,22244,59.0027
Degree,50,LT,25773,68.3634
Betweenness,1,LT,4454,11.8143
Betweenness,5,LT,13462,35.7082
Betweenness,10,LT,16393,43.4828
Betweenness,25,LT,21947,58.2149
Betweenness,50,LT,25531,67.7215
